iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,reproduction_rate,population,population_density,gdp_per_capita,life_expectancy
AFG,Asia,Afghanistan,2022-01-09,158381.0,7373.0,3975.883,nan,39835428.0,54.422,1803.987,64.83
OWID_AFR,Africa,Africa,2022-01-09,10092723.0,230874.0,7348.251,nan,1373486472.0,nan,nan,nan
ALB,Europe,Albania,2022-01-09,219694.0,3240.0,76470.257,nan,2872934.0,104.871,11803.431,78.57
DZA,Africa,Algeria,2022-01-09,222157.0,6339.0,4979.242,nan,44616626.0,17.348,13913.839,76.88
AND,Europe,Andorra,2022-01-09,26408.0,141.0,341391.525,nan,77354.0,163.755,nan,83.73
AGO,Africa,Angola,2022-01-09,89718.0,1826.0,2643.927,nan,33933611.0,23.89,5819.495,61.15
AIA,North America,Anguilla,2022-01-09,1777.0,6.0,117487.603,nan,15125.0,nan,nan,81.88
ATG,North America,Antigua and Barbuda,2022-01-09,5058.0,120.0,51231.667,nan,98728.0,231.845,21490.943,77.02
ARG,South America,Argentina,2022-01-09,6310844.0,117492.0,138378.031,nan,45605823.0,16.177,18933.907,76.67
ARM,Asia,Armenia,2022-01-09,345855.0,8001.0,116522.94,nan,2968128.0,102.931,8787.58,75.09
ABW,North America,Aruba,2022-01-09,27392.0,182.0,255534.307,nan,107195.0,584.8,35973.781,76.29
OWID_ASI,Asia,Asia,2022-01-09,86754451.0,1268110.0,18543.437,nan,4678444992.0,nan,nan,nan
AUS,Oceania,Australia,2022-01-09,1045291.0,2387.0,40533.667,nan,25788217.0,3.202,44648.71,83.44
AUT,Europe,Austria,2022-01-09,1339421.0,13848.0,148115.707,nan,9043072.0,106.749,45436.686,81.54
AZE,Asia,Azerbaijan,2022-01-09,621234.0,8445.0,60766.223,nan,10223344.0,119.309,15847.419,73.0
BHS,North America,Bahamas,2022-01-09,28619.0,717.0,72103.781,nan,396914.0,39.497,27717.847,73.92
BHR,Asia,Bahrain,2022-01-09,292572.0,1397.0,167347.044,nan,1748295.0,1935.907,43290.705,77.29
BGD,Asia,Bangladesh,2022-01-09,1593700.0,28102.0,9583.082,nan,166303494.0,1265.036,3523.984,72.59
BRB,North America,Barbados,2022-01-09,31841.0,266.0,110671.236,nan,287708.0,664.463,16978.068,79.19
BLR,Europe,Belarus,2022-01-09,708291.0,5712.0,75008.046,nan,9442867.0,46.858,17167.967,74.79
BEL,Europe,Belgium,2022-01-09,2231686.0,28459.0,191851.953,nan,11632334.0,375.564,42658.576,81.63
BLZ,North America,Belize,2022-01-09,35802.0,605.0,88418.557,nan,404915.0,16.426,7824.362,74.62
BEN,Africa,Benin,2022-01-09,25522.0,161.0,2049.79,nan,12451031.0,99.11,2064.236,61.77
BMU,North America,Bermuda,2022-01-09,7191.0,110.0,115812.021,nan,62092.0,1308.82,50669.315,82.59
BTN,Asia,Bhutan,2022-01-09,2781.0,3.0,3565.842,nan,779900.0,21.188,8708.597,71.78
BOL,South America,Bolivia,2022-01-09,677166.0,19983.0,57227.217,nan,11832936.0,10.202,6885.829,71.51
BES,North America,Bonaire Sint Eustatius and Saba,2022-01-09,4395.0,23.0,166193.988,nan,26445.0,nan,nan,77.79
BIH,Europe,Bosnia and Herzegovina,2022-01-09,297333.0,13568.0,91109.77,nan,3263459.0,68.496,11713.895,77.4
BWA,Africa,Botswana,2022-01-09,229855.0,2475.0,95883.182,nan,2397240.0,4.044,15807.374,69.59
BRA,South America,Brazil,2022-01-09,22529183.0,620251.0,105279.783,nan,213993441.0,25.04,14103.452,75.88
VGB,North America,British Virgin Islands,2022-01-09,4207.0,40.0,138283.535,nan,30423.0,207.973,nan,79.07
BRN,Asia,Brunei,2022-01-09,15634.0,98.0,35408.532,nan,441532.0,81.347,71809.251,75.86
BGR,Europe,Bulgaria,2022-01-09,780417.0,31556.0,113158.77,nan,6896655.0,65.18,18563.307,75.05
BFA,Africa,Burkina Faso,2022-01-09,19636.0,333.0,913.426,nan,21497097.0,70.151,1703.102,61.58
BDI,Africa,Burundi,2022-01-09,34722.0,38.0,2833.193,nan,12255429.0,423.062,702.225,61.58
KHM,Asia,Cambodia,2022-01-09,120621.0,3015.0,7117.776,nan,16946446.0,90.672,3645.07,69.82
CMR,Africa,Cameroon,2022-01-09,109666.0,1853.0,4028.245,nan,27224262.0,50.885,3364.926,59.29
CAN,North America,Canada,2022-01-09,2532885.0,30812.0,66535.956,nan,38067913.0,4.037,44017.591,82.43
CPV,Africa,Cape Verde,2022-01-09,50250.0,361.0,89428.565,nan,561901.0,135.58,6222.554,72.98
CYM,North America,Cayman Islands,2022-01-09,10618.0,12.0,159673.975,nan,66498.0,256.496,49903.029,83.92
CAF,Africa,Central African Republic,2022-01-09,12454.0,101.0,2531.308,nan,4919987.0,7.479,661.24,53.28
TCD,Africa,Chad,2022-01-09,6185.0,184.0,365.652,nan,16914985.0,11.833,1768.153,54.24
CHL,South America,Chile,2022-01-09,1829437.0,39272.0,95221.868,nan,19212362.0,24.282,22767.037,80.18
CHN,Asia,China,2022-01-09,103776.0,4636.0,71.856,nan,1444216102.0,147.674,15308.712,76.91
COL,South America,Colombia,2022-01-09,5330662.0,130338.0,103980.777,nan,51265841.0,44.223,13254.949,77.29
COM,Africa,Comoros,2022-01-09,7594.0,159.0,8547.413,nan,888456.0,437.352,1413.89,64.32
COG,Africa,Congo,2022-01-09,22418.0,370.0,3962.866,nan,5657017.0,15.405,4881.406,64.57
COK,Oceania,Cook Islands,2022-01-09,2.0,nan,113.817,nan,17572.0,nan,nan,76.25
CRI,North America,Costa Rica,2022-01-09,584547.0,7372.0,113746.054,nan,5139053.0,96.079,15524.995,80.28
CIV,Africa,Cote d'Ivoire,2022-01-09,77449.0,735.0,2862.795,nan,27053629.0,76.399,3601.006,57.78
HRV,Europe,Croatia,2022-01-09,765605.0,12878.0,187572.106,nan,4081657.0,73.726,22669.797,78.49
CUB,North America,Cuba,2022-01-09,977410.0,8328.0,86362.728,nan,11317498.0,110.408,nan,78.8
CUW,North America,Curacao,2022-01-09,28663.0,193.0,173930.192,nan,164796.0,362.644,nan,78.88
CYP,Europe,Cyprus,2022-01-09,204372.0,657.0,228092.477,nan,896005.0,127.657,32415.132,80.98
CZE,Europe,Czechia,2022-01-09,2528146.0,36590.0,235734.394,nan,10724553.0,137.176,32605.906,79.38
COD,Africa,Democratic Republic of Congo,2022-01-09,80175.0,1225.0,867.902,nan,92377986.0,35.879,808.133,60.68
DNK,Europe,Denmark,2022-01-09,969485.0,3385.0,166770.108,nan,5813302.0,136.52,46682.515,80.9
DJI,Africa,Djibouti,2022-01-09,14177.0,189.0,14145.921,nan,1002197.0,41.285,2705.406,67.11
DMA,North America,Dominica,2022-01-09,7299.0,47.0,101133.404,nan,72172.0,98.567,9673.367,75.0
DOM,North America,Dominican Republic,2022-01-09,457227.0,4255.0,41741.733,nan,10953714.0,222.873,14600.861,74.08
ECU,South America,Ecuador,2022-01-09,559950.0,33699.0,31302.279,nan,17888474.0,66.939,10581.936,77.01
EGY,Africa,Egypt,2022-01-09,392857.0,21964.0,3768.111,nan,104258327.0,97.999,10550.206,71.99
SLV,North America,El Salvador,2022-01-09,122469.0,3827.0,18787.911,nan,6518500.0,307.811,7292.458,73.32
GNQ,Africa,Equatorial Guinea,2022-01-09,14401.0,177.0,9932.471,nan,1449891.0,45.194,22604.873,58.74
ERI,Africa,Eritrea,2022-01-09,8335.0,82.0,2314.338,nan,3601462.0,44.304,1510.459,66.32
EST,Europe,Estonia,2022-01-09,252517.0,1955.0,190551.831,nan,1325188.0,31.033,29481.252,78.74
SWZ,Africa,Eswatini,2022-01-09,67294.0,1336.0,57400.017,nan,1172369.0,79.492,7738.975,60.19
ETH,Africa,Ethiopia,2022-01-09,444124.0,7030.0,3767.715,nan,117876226.0,104.957,1729.927,66.6
OWID_EUR,Europe,Europe,2022-01-09,97125451.0,1554351.0,129679.908,nan,748962983.0,nan,nan,nan
OWID_EUN,European Union,European Union,2022-01-09,62674224.0,917141.0,140151.246,nan,447189915.0,nan,nan,nan
FRO,Europe,Faeroe Islands,2022-01-09,7708.0,15.0,157136.159,nan,49053.0,35.308,nan,80.67
FLK,South America,Falkland Islands,2022-01-09,85.0,nan,24092.971,nan,3528.0,nan,nan,81.44
FJI,Oceania,Fiji,2022-01-09,57257.0,709.0,63414.623,nan,902899.0,49.562,8702.975,67.44
FIN,Europe,Finland,2022-01-09,305522.0,1638.0,55065.271,nan,5548361.0,18.136,40585.721,81.91
FRA,Europe,France,2022-01-09,12157805.0,125503.0,180324.004,nan,67422000.0,122.578,38605.671,82.66
PYF,Oceania,French Polynesia,2022-01-09,46534.0,636.0,164702.301,nan,282534.0,77.324,nan,77.66
GAB,Africa,Gabon,2022-01-09,43939.0,295.0,19281.394,nan,2278829.0,7.859,16562.413,66.47
GMB,Africa,Gambia,2022-01-09,10792.0,343.0,4339.475,nan,2486937.0,207.566,1561.767,62.05
GEO,Asia,Georgia,2022-01-09,959874.0,14187.0,241188.128,nan,3979773.0,65.032,9745.079,73.77
DEU,Europe,Germany,2022-01-09,7553743.0,114033.0,90032.188,nan,83900471.0,237.016,45229.245,81.33
GHA,Africa,Ghana,2022-01-09,150874.0,1325.0,4754.613,nan,31732128.0,126.719,4227.63,64.07
GIB,Europe,Gibraltar,2022-01-09,9891.0,100.0,293579.888,nan,33691.0,3457.1,nan,79.93
GRC,Europe,Greece,2022-01-09,1507616.0,21394.0,145371.978,nan,10370747.0,83.479,24574.382,82.24
GRL,North America,Greenland,2022-01-09,4996.0,1.0,87852.571,nan,56868.0,0.137,nan,71.7
GRD,North America,Grenada,2022-01-09,7699.0,200.0,68123.7,nan,113015.0,317.132,13593.877,72.4
GTM,North America,Guatemala,2022-01-09,638705.0,16125.0,34997.787,nan,18249868.0,157.834,7423.808,74.3
GGY,Europe,Guernsey,2022-01-04,nan,nan,nan,nan,63385.0,nan,nan,nan
GIN,Africa,Guinea,2022-01-09,34673.0,400.0,2568.896,nan,13497237.0,51.755,1998.926,61.6
GNB,Africa,Guinea-Bissau,2022-01-09,6694.0,149.0,3321.277,nan,2015490.0,66.191,1548.675,58.32
GUY,South America,Guyana,2022-01-09,44902.0,1070.0,56814.314,nan,790329.0,3.952,7435.047,69.91
HTI,North America,Haiti,2022-01-09,26654.0,780.0,2309.369,nan,11541683.0,398.448,1653.173,64.0
OWID_HIC,nan,High income,2022-01-09,149826539.0,1967652.0,123321.105,nan,1214930230.0,nan,nan,nan
HND,North America,Honduras,2022-01-09,381254.0,10443.0,37886.736,nan,10062994.0,82.805,4541.795,75.27
HKG,Asia,Hong Kong,2022-01-09,12786.0,213.0,1692.882,nan,7552800.0,7039.714,56054.92,84.86
HUN,Europe,Hungary,2022-01-09,1282957.0,39780.0,133167.472,nan,9634162.0,108.043,26777.561,76.88
ISL,Europe,Iceland,2022-01-09,36447.0,39.0,98828.066,nan,368792.0,3.404,46482.958,82.99
IND,Asia,India,2022-01-09,35707727.0,483936.0,25626.163,nan,1393409033.0,450.419,6426.674,69.66
IDN,Asia,Indonesia,2022-01-09,4266195.0,144129.0,15436.993,nan,276361788.0,145.725,11188.744,71.72
OWID_INT,nan,International,2022-01-09,721.0,15.0,nan,nan,nan,nan,nan,nan
IRN,Asia,Iran,2022-01-09,6206405.0,131878.0,72991.832,nan,85028760.0,49.831,19082.62,76.68
